German,English
Zwiebeln und Lauch,Onions and leeks
"Anderes Gemüse, Küchenkräuter und Pilze","Other vegetables, kitchen herbs and mushrooms"
Tiefkühlgemüse,Frozen
Konservierte Gemüse und Pilze,Preserved vegetables and mushrooms
Kartoffeln und kartoffelhaltige Produkte,Potatoes and potato -containing products
Kartoffeln,potatoes
Kartoffelhaltige Produkte,Products containing potatoes
Chips und Snacks,Chips and snacks
"Zucker, Konfitüren, Honig, Schokolade und andere Süsswaren","Sugar, jams, honey, chocolate and other sweets"
Zucker,Sugar
Konfitüren und Bienenhonig,Jams and bee honey
Schokolade,Chocolate
Süsswaren,Confectionery
Speiseeis,Ice cream
Sonstige Nahrungsmittel,Other foods
Saucen und Würzen,Saucen and season
"Salz, Gewürze und Küchenkräuter","Salt, spices and kitchen herbs"
Babynahrung,Baby food
Küchenfertige Nahrungsmittel,Practical foods
Suppen und andere Nahrungsmittel,Soups and other foods
Alkoholfreie Getränke (Detailhandel),Non -alcoholic drinks (retail)
"Kaffee, Tee, Kakao und Nährgetränke","Coffee, tea, cocoa and nutritional drinks"
Kaffee (Detailhandel),Coffee (retail)
Tee (Detailhandel),Tea (retail)
Kakao und Schokoladen Pulver,Cocoa and chocolate powder
"Mineralwasser, Süssgetränke und Säfte","Mineral water, sweet drinks and juices"
Natürliche Mineralwasser,Natural mineral water
Süssgetränke,Sweet drinks
Frucht- und Gemüsesäfte,Fruit and vegetable juices
Grundlegende Schul- und Berufsbildung,Basic school and vocational training
Obligatorische Schulen,Mandatory schools
Nachobligatorische Schulen,Non -fiction schools
Höhere Berufsbildung und Hochschulen,Higher vocational training and universities
Weiterbildungskurse,Further training courses
Gaststätten,Restaurants
"Restaurants, Cafés und Schnellverpflegung","Restaurants, cafes and quick catering"
Restaurants und Cafés,Restaurants and cafés
Mahlzeiten in Restaurants und Cafés,Meals in restaurants and cafés
Getränke in Restaurants und Cafés,Drinks in restaurants and cafés
Alkoholische Getränke,Alcoholic drinks
Wein,Wine
Bier,Beer
Spirituosen und andere alkoholische Getränke,Spirits and other alcoholic beverages
Alkoholfreie Getränke,Soft drinks
Kaffee und Tee,coffee and tea
Mineralwasser und Süssgetränke,Mineral water and sweet drinks
Self-Service Restaurants,Self-service restaurants
Schnellverpflegung,Quick catering
Mahlzeiten Schnellverpflegung,Meals of quick catering
Alkoholfreie Getränke Schnellverpflegung,Alcohol -free drinks of quick catering
Alkoholische Getränke Schnellverpflegung,Alcoholic drinks of quick catering
"Personalrestaurants, Kantinen","Personnel restaurants, canteens"
Mahlzeiten in Personalrestaurants,Meals in personnel restaurants
Getränke in Personalrestaurants,Drinks in personnel restaurants
Beherbergung,accommodation
Hotellerie,Hotel
Parahotellerie,Parahotellerie
Körperpflege,personal hygiene
Coiffeur- und Kosmetikleistungen,Hairdressing and cosmetic services
Coiffeur für Herren und Kinder,Coiffeur for men and children
Coiffeur für Damen,Coiffeur for women
Schönheitspflege,Beauty care
Elektrische Geräte für die Körperpflege,Electrical devices for personal care
Waren für die Körperpflege,Goods for personal care
Nichtelektrische Geräte für die Körperpflege,Non -electrical devices for personal care
Toilettenartikel,Toilet articles
Seifen und Badezusätze,Soaps and bathing additives
Haarpflegemittel,Hair care product
Zahnpflegemittel,Dental care product
Schönheitspflegemittel und Kosmetika,Beauty care product and cosmetics
Produkte für die Körperpflege,Products for personal care
Gesichtspflegeprodukte und Make-Up,Facial care products and make-up
Papierwaren für die Körperpflege,Paper goods for personal care
Persönliche Gebrauchsgegenstände,Personal everyday objects
Schmuck,Jewelry
Uhren,Watch
Reiseartikel und Accessoires,Travel items and accessories
Soziale Einrichtungen,Social facilities
Versicherungen,Insurance
Hausratversicherung (inkl. Privathaftpflicht),Household insurance (including private liability)
Private Krankenversicherung,Private health insurance
Motorfahrzeugversicherung,Motor vehicle insurance
Finanzielle Dienstleistungen,Financial services
Kontogebühren,Account fees
Gebühren für Wertschriftendepots,Fees for advertising depots
Sonstige Dienstleistungen,other services
Amtsdokumente,Official documents
Dienste von Rechtsanwälten,Services of lawyers
Inserate,Advertisement
Alkoholische Getränke (Detailhandel),Alcoholic drinks (retail)
Spirituosen (Detailhandel),Spirits (retail)
Brände (Detailhandel),Fires (retail)
Likör und Apéro-Getränke (Detailhandel),Likör and aperitif-drinks (retail)
Wein (Detailhandel),Wine (retail)
Rotwein,red wine
"Rotwein, inländisch (Detailhandel)","Red wine, domestic (retail)"
"Rotwein, ausländisch (Detailhandel)","Red wine, foreign (retail)"
Weisswein,White wine
"Weisswein, inländisch (Detailhandel)","White wine, domestic (retail)"
"Weisswein, ausländisch (Detailhandel)","White wine, foreign (retail)"
Schaumwein (Detailhandel),Foam wine (retail)
Bier (Detailhandel),Beer (retail)
Tabakwaren,Tobacco
Zigaretten,Cigarettes
Andere Tabakwaren,Other tobacco products
Körperpflege,personal hygiene
Coiffeur- und Kosmetikleistungen,Hairdressing and cosmetic services
Coiffeur für Herren und Kinder,Coiffeur for men and children
Coiffeur für Damen,Coiffeur for women
Schönheitspflege,Beauty care
Elektrische Geräte für die Körperpflege,Electrical devices for personal care
Waren für die Körperpflege,Goods for personal care
Nichtelektrische Geräte für die Körperpflege,Non -electrical devices for personal care
Toilettenartikel,Toilet articles
Seifen und Badezusätze,Soaps and bathing additives
Haarpflegemittel,Hair care product
Zahnpflegemittel,Dental care product
Schönheitspflegemittel und Kosmetika,Beauty care product and cosmetics
Produkte für die Körperpflege,Products for personal care
Gesichtspflegeprodukte und Make-Up,Facial care products and make-up
Papierwaren für die Körperpflege,Paper goods for personal care
Persönliche Gebrauchsgegenstände,Personal everyday objects
Schmuck,Jewelry
Uhren,Watch
Reiseartikel und Accessoires,Travel items and accessories
Soziale Einrichtungen,Social facilities
Versicherungen,Insurance
Hausratversicherung (inkl. Privathaftpflicht),Household insurance (including private liability)
Private Krankenversicherung,Private health insurance
Motorfahrzeugversicherung,Motor vehicle insurance
Finanzielle Dienstleistungen,Financial services
Kontogebühren,Account fees
Gebühren für Wertschriftendepots,Fees for advertising depots
Sonstige Dienstleistungen,other services
Amtsdokumente,Official documents
Dienste von Rechtsanwälten,Services of lawyers
Inserate,Advertisement
Miete,Rent
Wohnungsmiete,rent
Wohnungsmiete (Mietpreisindex),Apartment rent (rental price index)
Unterstellte Miete für selbstgenutztes Wohneigentum,Supported rent for self -used residential property
Garagen- und Parkplatzmiete,Garage and parking rental
Laufende Wohnungsreparatur,Ongoing housing repair
Material für Wohnungsreparaturen,Material for apartment repairs
Dienstleistungen für laufende Wohnungsreparaturen,Services for ongoing housing repairs
Dienstleistungen für Sanitärinstallation,Sanitary installation services
Dienstleistungen für Elektroinstallation,Services for electrical installation
Dienstleistungen für Malerei/Gipserei,Services for painting/plastering
Dienstleistungen für Schreinerei,Carpentry services
Dienstleistungen für Versorgung und Unterhalt der Wohnung,Services for supply and maintenance of the apartment
Gebühren für die Versorgung der Wohnung,Fees for the supply of the apartment
Kehrichtgebühren,Review fees
Wassergebühren,Water fees
Abwassergebühren,Wastewater
Unterhalt und Hauswartung,Maintenance and house maintenance
Energie,energy
Elektrizität,electricity
"Elektrizität, Verbrauchstyp I","Electricity, type of consumption I"
"Elektrizität, Verbrauchstyp II","Electricity, consumption type II"
"Elektrizität, Verbrauchstyp III","Electricity, type III consumption"
"Elektrizität, Verbrauchstyp IV","Electricity, type of consumption IV"
"Elektrizität, Verbrauchstyp V","Electricity, consumption type V"
"Elektrizität, Verbrauchstyp VI","Electricity, consumption type VI"
"Elektrizität, Verbrauchstyp VII","Electricity, type of consumption VII"
Gas,gas
"Gas, Verbrauchstyp II","Gas, consumption type II"
"Gas, Verbrauchstyp III","Gas, type III consumption"
"Gas, Verbrauchstyp IV","Gas, type of consumption IV"
"Gas, Verbrauchstyp V","Gas, type of consumption"
Heizöl,Heating oil
Brennholz,firewood
Holzpellets,Wood pellets
Holzscheite,Wooden section
Fernwärme,District heating
Bekleidung,clothing
Bekleidungsartikel,Clothing
Herrenbekleidung,Men's clothing
"Jacken, Herren","Jackets, gentlemen"
"Anzüge, Herren","Suits, gentlemen"
"Hosen, Herren","Pants, gentlemen"
"Oberhemden, Herren","Upper shirts, gentlemen"
"Strickwaren, Herren","Knitwear, gentlemen"
"Unterwäsche, Herren","Underwear, gentlemen"
Damenbekleidung,Women's clothing
"Mäntel und Jacken, Damen","Coats and jackets, women"
"Jupes und Kleider, Damen","Jupes and dresses, women"
"Hosen, Damen","Pants, women"
"Blusen und Hemdblusen, Damen","Blouses and shirt blouses, women"
"Strickwaren, Damen","Knitwear, ladies"
"Unterwäsche, Damen","Underwear, women"
Kinderbekleidung,Children's clothing
"Jacken, Kinder","Jackets, children"
"Hosen und Jupe, Kinder","Pants and Jupe, children"
"Strickwaren, Kinder","Knitwear, children"
Babybekleidung,Baby clothing
"Strumpfwaren und Unterwäsche, Kinder","Wantry and underwear, children"
Sportbekleidung,Sportswear
Wintersportbekleidung,Winter sports clothing
Sommer-/ Ganzjahrsportbekleidung,Summer/ all-year sports clothing
Bekleidungszubehör,Clothing accessories
Reinigung und Reparatur von Bekleidung,Cleaning and repair of clothing
Kleideränderungen,Changes in clothes
Textilreinigung,Textile cleaning
Schuhe einschliesslich Reparatur,Shoes including repair
Schuhe,Shoes
Herrenschuhe,Men's shoes
Damenschuhe,Women's shoes
Kinderschuhe,Children's shoes
Reparatur von Schuhen,Repair of shoes
Einrichtungsgegenstände und Bodenbeläge,Furnishing objects and floor coverings
Möbel und Einrichtungszubehör,Furniture and furnishing accessories
Wohnmöbel,Home furniture
Wohnzimmer- und Büromöbel,Living room and office furniture
Schlafzimmermöbel,Bedroom furniture
Küchen- und Esszimmermöbel,Kitchen and dining room furniture
Gartenmöbel,garden furniture
Beleuchtungskörper,Lighting body
Einrichtungszubehör,Setup accessories
Bodenbeläge und Teppiche,Floor coverings and carpets
"Heimtextilien, Haushaltswäsche und Zubehör","Home textiles, household linen and accessories"
Vorhänge und Zubehör,Curtains and accessories
Bettzeug und Zubehör,Bedding and accessories
Haushaltswäsche,Household linen
Haushaltsgeräte,domestic appliances
Grosse elektrische Haushaltsgeräte,Large electrical household appliances
Kühlschränke und Gefriergeräte,Refrigerators and freezers
"Waschmaschinen, Wäschetrockner und Geschirrspüler","Washing machines, tumble dryers and dishwasher"
"Kochherd, Backofen und Grills","Cooking stove, oven and grills"
Geräte für Raumklima,Devices for indoor climate
Reinigungsgeräte,Cleaning devices
Kleine elektrische Haushaltsgeräte,Small electric household appliances
"Glaswaren, Geschirr und andere Gebrauchsgüter für die Haushaltsführung","Glass goods, dishes and other goods for housekeeping"
Glaswaren und Geschirr,Glassware and dishes
Besteck,Cutlery
Nichtelektrische Gebrauchsgüter für die Küche und die Haushaltsführung,Non -electric usable goods for the kitchen and housekeeping
Küchen- und Kochgeräte,Kitchen and cooking equipment
Andere Gebrauchsgüter für die Haushaltsführung,Other goods for housekeeping
"Werkzeuge, Kleinmaterial und Zubehör für Haus und Garten","Tools, small materials and accessories for house and garden"
Motorbetriebene Werkzeuge für Haus und Garten,Motor -powered tools for house and garden
Handwerkzeuge und Zubehör für Haus und Garten,Hand tools and accessories for house and garden
Handwerkzeuge für Haus und Garten,Hand tools for house and garden
Kleinmaterial und Zubehör für Haus und Garten,Small material and accessories for house and garden
Laufende Haushaltsführung,Running housekeeping
Waren für die laufende Haushaltsführung,Were for ongoing housekeeping
Wasch- und Reinigungsmittel,Wash and cleaning agents
Putzmaterial,Plastering material
Verbrauchsmaterial,Consumables
Dienstleistungen für Wohnungsreinigung,Housing services
Medizinische Erzeugnisse,Medical products
Medikamente,Medication
Sanitätsmaterial,Medical
Medizinische Hilfsmittel,Medical aid
Brillen und Kontaktlinsen,Glasses and contact lenses
Hörgeräte und andere medizinische Hilfsmittel,Hearing aids and other medical aids
Ambulante Dienstleistungen,Outpatient services
Ärztliche Leistungen,Medical services
Ärztliche Leistungen der Arztpraxen,Medical services of the medical practices
Ambulante ärztliche Leistungen im Spital,Outpatient medical services in the hospital
Zahnärztliche Leistungen,Dental services
Andere Gesundheitsleistungen,Other health services
Laboranalysen,Laboratory analyzes
Paramedizinische Gesundheitsleistungen,Paramedical health services
Physiotherapie,physical therapy
Pflegeleistungen Spitex,Poster services Spitex
Stationäre Spitalleistungen,Inpatient hospital services
"Automobile, Motor- und Fahrräder","Automobiles, engine and bicycles"
"Kauf von Automobilen, Motor- und Fahrrädern","Purchase of automobiles, engine and bicycles"
Automobile,Automobile
Neue Automobile,New automobiles
Occasions-Automobile,Occasion automobile
Motorräder,motorcycles
Fahrräder und Elektrofahrräder,Bicycles and electric bikes
Fahrräder,Cycles
Elektrofahrräder,Electric bicycles
"Betrieb und Unterhalt von Automobilen, Motor- und Fahrrädern","Operation and maintenance of automobiles, engine and bicycles"
Ersatzteile und Zubehör,Spare parts and accessories
Pneus,Pneus
Ersatzteile,spare Parts
Fahrzeugzubehör,Vehicle accessories
Treibstoff,fuel
Diesel,Diesel
Benzin,petrol
Wartung und Reparatur von privaten Verkehrsmitteln,Maintenance and repair of private transportation
Service- und Reparaturarbeiten für Motorfahrzeuge,Service and repair work for motor vehicles
Service für Fahrräder,Service for bicycles
Sonstige Dienstleistungen für Individualverkehr,Other services for private transport
Miete von privaten Verkehrsmitteln und Dauerparkplätzen,Rent of private transportation and permanent parking spaces
Miete von Dauerparkplätzen,Rent of permanent parking spaces
Miete von privaten Verkehrsmitteln,Rent of private transportation
Parkgebühren,Parking fees
Gebühren für Privatfahrzeuge und Fahrschule,Fees for private vehicles and driving school
Transportdienstleistungen,Transport services
Öffentlicher Verkehr,Public transport
Öffentlicher Fernverkehr,Public transport
Öffentlicher Regionalverkehr,Public transport
Öffentlicher Verkehr ins Ausland,Public traffic abroad
Taxi,taxi
Luftverkehr,air traffic
Passagiertransport mit Schiff,Passenger transport with ship
Postdienste,Postal service
Telekomgeräte,Telecom devices
Telekommunikation,telecommunications
Festnetz-Kommunikation,Fixed network communication
Kombi-Angebote Fest- und Mobilnetz,Combi offers fixed and mobile network
Mobilnetz-Kommunikation,Mobile network communication
"Geräte für Audio-Video, Fotografie und Datenverarbeitung","Devices for audio video, photography and data processing"
Fernseh- und Audio-Videogeräte,TV and audio video devices
Fernsehgeräte,Television
Audio-Video-Geräte,Audio video devices
"Foto-, Kino- und optische Geräte","Photo, cinema and optical devices"
Personalcomputer und Zubehör,Personnel computers and accessories
Personalcomputer,Personnel computer
IT-Peripherie und Zubehör,IT periphery and accessories
Software für Computer,Software for computers
Speichermedien und Inhalte,Storage media and content
Bespielte Bild- und Tonträger,Visited image and sound carriers
Downloads,Downloads
Reparatur und Installationen Radio und TV,Repair and installations radio and TV
Andere dauerhafte Waren für Freizeit und Kultur,Other permanent goods for leisure and culture
Freizeitschiffe,Leisure ships
Musikinstrumente,Musical instruments
"Sonstige Artikel und Geräte für Freizeit, Garten und Heimtiere","Other articles and devices for leisure, garden and pets"
Spiel- und Hobbywaren,Play and hobby goods
Spielkonsolen und elektronische Spiele,Game consoles and electronic games
Gesellschaftsspiele,Board games
Spielwaren,Toy
Sportgeräte und Campingausrüstung,Sports equipment and camping equipment
Sportartikel,Sporting goods
Wintersportartikel,Winter sports articles
Sommer- und Ganzjahressportartikel,Summer and all-year sports articles
Camping- und Outdoorartikel,Camping and outdoor articles
Dienstleistungen Wintersportartikel,Services winter sports items
"Pflanzen, Blumen und Gartenprodukte","Plants, flowers and garden products"
Gartenprodukte,Garden products
Pflanzen und Blumen,Plants and flowers
Heimtierartikel,Pet articles
Tierärztliche Leistungen für Heimtiere,Veterinary services for pets
Freizeit- und Kulturdienstleistungen,Leisure and cultural services
Dienstleistungen Sport und Freizeit,Services sports and leisure
Sportveranstaltungen,Sports events
Sport- und Freizeitaktivitäten,Sports and leisure activities
Eintritte in Sporteinrichtungen,Admission to sports facilities
Bergbahnen und Skilifte,Bergbahnen and ski lifts
Freizeitkurse,Recreational courses
Kultur- und Freizeitdienstleistungen,Cultural and leisure services
"Kino, Theater und Konzerte","Cinema, theater and concerts"
Kino,movie theater
Theater und Konzerte,Theater and concerts
Museen und Zoos,Museums and zoos
Radio- und Fernsehempfang,Radio and television reception
Empfang von kostenpflichtigen Audio/Video-Inhalten,Reception of paid audio/video content
Fotolabor,Photo laboratory
Glücksspiele,Gambling
"Zeitungen, Bücher und Schreibwaren","Newspapers, books and stationery"
Bücher,Books
Belletristik-Bücher,Fiction books
Schul- und Lehrbücher,School and textbooks
Andere Bücher,Other books
Zeitungen und Zeitschriften,newspapers and magazines
Einzelausgaben von Zeitungen und Zeitschriften,Individual expenses of newspapers and magazines
Abonnemente für Zeitungen und Zeitschriften,Subscribers for newspapers and magazines
Sonstige Druckprodukte,Other printed products
Schreib- und Zeichenmaterial,Writing and drawing material
Pauschalreisen,Package tours
Pauschalreisen ins Ausland,Package tours abroad
Pauschalreisen im Inland,Package tours in Germany
Grundlegende Schul- und Berufsbildung,Basic school and vocational training
Obligatorische Schulen,Mandatory schools
Nachobligatorische Schulen,Non -fiction schools
Höhere Berufsbildung und Hochschulen,Higher vocational training and universities
Weiterbildungskurse,Further training courses
Gaststätten,Restaurants
"Restaurants, Cafés und Schnellverpflegung","Restaurants, cafes and quick catering"
Restaurants und Cafés,Restaurants and cafés
Mahlzeiten in Restaurants und Cafés,Meals in restaurants and cafés
Getränke in Restaurants und Cafés,Drinks in restaurants and cafés
Alkoholische Getränke,Alcoholic drinks
Wein,Wine
Bier,Beer
Spirituosen und andere alkoholische Getränke,Spirits and other alcoholic beverages
Alkoholfreie Getränke,Soft drinks
Kaffee und Tee,coffee and tea
Mineralwasser und Süssgetränke,Mineral water and sweet drinks
Self-Service Restaurants,Self-service restaurants
Schnellverpflegung,Quick catering
Mahlzeiten Schnellverpflegung,Meals of quick catering
Alkoholfreie Getränke Schnellverpflegung,Alcohol -free drinks of quick catering
Alkoholische Getränke Schnellverpflegung,Alcoholic drinks of quick catering
"Personalrestaurants, Kantinen","Personnel restaurants, canteens"
Mahlzeiten in Personalrestaurants,Meals in personnel restaurants
Getränke in Personalrestaurants,Drinks in personnel restaurants
Beherbergung,accommodation
Hotellerie,Hotel
Parahotellerie,Parahotellerie
Körperpflege,personal hygiene
Coiffeur- und Kosmetikleistungen,Hairdressing and cosmetic services
Coiffeur für Herren und Kinder,Coiffeur for men and children
Coiffeur für Damen,Coiffeur for women
Schönheitspflege,Beauty care
Elektrische Geräte für die Körperpflege,Electrical devices for personal care
Waren für die Körperpflege,Goods for personal care
Nichtelektrische Geräte für die Körperpflege,Non -electrical devices for personal care
Toilettenartikel,Toilet articles
Seifen und Badezusätze,Soaps and bathing additives
Haarpflegemittel,Hair care product
Zahnpflegemittel,Dental care product
Schönheitspflegemittel und Kosmetika,Beauty care product and cosmetics
Produkte für die Körperpflege,Products for personal care
Gesichtspflegeprodukte und Make-Up,Facial care products and make-up
Papierwaren für die Körperpflege,Paper goods for personal care
Persönliche Gebrauchsgegenstände,Personal everyday objects
Schmuck,Jewelry
Uhren,Watch
Reiseartikel und Accessoires,Travel items and accessories
Soziale Einrichtungen,Social facilities
Versicherungen,Insurance
Hausratversicherung (inkl. Privathaftpflicht),Household insurance (including private liability)
Private Krankenversicherung,Private health insurance
Motorfahrzeugversicherung,Motor vehicle insurance
Finanzielle Dienstleistungen,Financial services
Kontogebühren,Account fees
Gebühren für Wertschriftendepots,Fees for advertising depots
Sonstige Dienstleistungen,other services
Amtsdokumente,Official documents
Dienste von Rechtsanwälten,Services of lawyers
Inserat,Advertisement
